GOME2_PK_SIF,GOME2_JJ_SIF,OCO2SIF,GOSIF,ELEVATION,BCCMASS,TA,RF,SW,VPD,Ndepo,LAI,longitude,latitude,Region,randomNum
2883,6373,48,60,1860,6210,29186,2961,15154,36,60004058,42,-75.7468027378054,5.86967844093695,1,0.0941819460658819
3212,6930,59,73,1456,6388,28955,5538,13901,20,58882582,47,-75.7468027378054,5.310661446562,1,0.655903733370494
3072,6558,51,70,1377,5923,29200,7719,13342,21,57761210,37,-75.7468027378054,4.75164445218705,1,0.370817370282665
2927,6446,58,71,1235,5490,28946,7372,14516,24,53495544,38,-75.7468027378054,4.19262745781211,1,0.558479450398987
2723,6163,52,69,2150,5721,28699,1965,15175,43,49185968,46,-75.7468027378054,3.63361046343716,1,0.84939235097098
2520,5901,50,66,2447,5889,28582,2790,14625,25,47018607,43,-75.7468027378054,3.07459346906221,1,0.796043263509595
2937,6487,61,78,2661,5748,28911,2693,14767,34,42669447,47,-75.7468027378054,2.51557647468726,1,0.723252079701484
3148,6644,60,81,2171,5797,29112,2395,14762,28,38302376,45,-75.7468027378054,1.95655948031232,1,0.571248918042667
3602,7110,65,85,1726,7241,29567,2385,14613,44,36114951,52,-75.7468027378054,1.39754248593737,1,0.385126670549
4321,7853,80,92,259,8417,29796,3701,14170,36,31836535,60,-75.7468027378054,0.838525491562421,1,0.877189643224498
4214,7706,79,90,261,8261,29788,3561,13963,34,27664859,59,-75.7468027378054,0.279508497187474,1,0.746549314650411
3967,7346,74,86,253,7685,29791,3399,13830,34,25577808,58,-75.7468027378054,-0.279508497187474,1,0.0676164885152745
4012,7442,78,90,238,7259,29795,3004,13775,34,22146173,58,-75.7468027378054,-0.838525491562421,1,0.0412447328275986
3979,7443,79,92,247,6959,29792,3030,13774,33,20430347,58,-75.7468027378054,-1.39754248593737,1,0.851653898160946
3950,7429,80,90,232,6758,29793,2953,13806,32,19746368,59,-75.7468027378054,-1.95655948031232,1,0.586979491987596
3944,7411,80,91,235,6605,29792,2832,13812,32,18418880,59,-75.7468027378054,-2.51557647468726,1,0.661008925119113
3860,7341,80,91,235,6572,29784,2927,13780,31,18405466,59,-75.7468027378054,-3.07459346906221,1,0.587978395631768
3889,7367,80,91,196,6614,29809,2885,13911,32,18598517,59,-75.7468027378054,-3.63361046343716,1,0.25762114939072
3927,7379,79,91,158,6718,29819,2886,13979,32,18983827,58,-75.7468027378054,-4.19262745781211,1,0.680487872232814
3763,7129,74,85,140,6866,29864,2751,14378,36,19915758,57,-75.7468027378054,-4.75164445218705,1,0.895247354421482
4054,7777,80,93,132,7000,29864,2597,14671,38,20385263,59,-75.7468027378054,-5.310661446562,1,0.381128997241942
4278,8257,84,98,158,7076,29849,2576,14824,39,22295753,59,-75.7468027378054,-5.86967844093695,1,0.314339242777211
4190,8208,82,98,385,7170,29731,2161,15249,43,23716738,58,-75.7468027378054,-6.4286954353119,1,0.157746203177287
4136,8254,82,100,649,7100,29608,2819,15296,36,24156254,57,-75.7468027378054,-6.98771242968684,1,0.67091807580288
4331,8489,85,105,719,7193,29651,2535,15141,38,24900347,58,-75.7468027378054,-7.54672942406179,1,0.531718377082577
3901,7974,77,96,1172,7195,29427,3938,14423,32,25596443,55,-75.7468027378054,-8.10574641843674,1,0.810936086127917
3741,7893,74,95,1234,7341,29408,4529,14297,31,26003070,54,-75.7468027378054,-8.66476341281169,1,0.514934937996716
3357,7484,67,89,986,7339,29196,2910,14925,29,26109941,50,-75.7468027378054,-9.22378040718663,1,0.188584050495117
2849,6840,61,79,2790,6597,28719,2964,15335,18,26356995,47,-75.7468027378054,-9.78279740156158,1,0.778515679930076
2452,6291,55,72,3479,5572,28353,2701,15785,16,25840280,42,-75.7468027378054,-10.3418143959365,1,0.904951512121792
2351,6264,54,69,4193,4619,27901,1914,17323,14,25214641,44,-75.7468027378054,-10.9008313903115,1,0.563703364461403
4123,7732,71,88,316,9202,29758,2997,14795,42,62776079,55,-75.1877857434304,7.54672942406179,1,0.599765813142615
4312,7941,76,93,1410,7405,29388,3081,15648,31,66048154,57,-75.1877857434304,6.98771242968684,1,0.61991104510749
3870,7730,71,84,1580,7516,29422,2486,16822,60,65872416,52,-75.1877857434304,5.86967844093695,1,0.650537272128576
2950,6610,57,67,1681,7866,29312,1830,16592,71,65335469,42,-75.1877857434304,5.310661446562,1,0.131965637368413
2985,6524,55,71,1747,7891,29295,1669,15114,65,64167938,39,-75.1877857434304,4.75164445218705,1,0.251545807376491
2881,6363,55,69,2326,8798,29706,1499,15332,93,58645091,38,-75.1877857434304,4.19262745781211,1,0.690869624406971
2937,6498,52,78,1752,7428,29462,2522,16144,75,50177443,44,-75.1877857434304,3.07459346906221,1,0.381260865032732
2888,6364,52,77,1395,6020,28991,2645,15391,35,43979012,47,-75.1877857434304,2.51557647468726,1,0.559233584682646
3235,6780,61,82,1356,7438,29756,2025,15343,69,37568849,50,-75.1877857434304,1.95655948031232,1,0.197369514517831
4211,7701,78,89,230,8523,29809,3237,14310,39,29139097,59,-75.1877857434304,0.838525491562421,1,0.784785430845754
4214,7690,79,91,235,8059,29806,3213,14067,36,25204159,59,-75.1877857434304,0.279508497187474,1,0.620492026929818
4022,7430,76,87,240,7444,29812,3040,13969,35,23235580,58,-75.1877857434304,-0.279508497187474,1,0.229646140395105
3903,7300,77,89,212,7027,29808,3033,13891,34,20107392,58,-75.1877857434304,-0.838525491562421,1,0.0891505524046536
3895,7326,79,91,218,6783,29807,3032,13872,33,18848536,58,-75.1877857434304,-1.39754248593737,1,0.981866218444884
3947,7419,81,92,218,6675,29802,2883,13858,32,18408382,59,-75.1877857434304,-1.95655948031232,1,0.647126592767585
3912,7395,80,91,192,6633,29796,2935,13886,31,17558022,59,-75.1877857434304,-2.51557647468726,1,0.72560588540111
3687,7106,77,89,217,6675,29806,2945,13935,32,17711563,58,-75.1877857434304,-3.07459346906221,1,0.614780211831587
3891,7362,79,90,191,6761,29826,2905,13933,32,17941175,59,-75.1877857434304,-3.63361046343716,1,0.976313826081313
3967,7424,79,91,151,6886,29834,2905,14007,33,18396122,58,-75.1877857434304,-4.19262745781211,1,0.250711054111222
3779,7147,74,86,132,7027,29857,2725,14196,35,19068317,57,-75.1877857434304,-4.75164445218705,1,0.281078026490065
3965,7595,77,90,127,7116,29851,2727,14312,35,19527109,58,-75.1877857434304,-5.310661446562,1,0.550200076091628
4140,8004,82,95,176,7171,29862,2565,14524,38,20456604,58,-75.1877857434304,-5.86967844093695,1,0.955750916733098
4223,8146,82,96,196,7242,29880,2528,15058,42,21237698,59,-75.1877857434304,-6.4286954353119,1,0.251832977333544
4457,8571,86,102,543,7324,29863,2324,15228,44,22173756,59,-75.1877857434304,-6.98771242968684,1,0.538198399167643
4470,8576,86,101,315,7526,29868,2407,15235,44,24281772,59,-75.1877857434304,-7.54672942406179,1,0.582840320247931
4436,8601,85,100,470,7845,29852,2707,14996,43,26325251,59,-75.1877857434304,-8.10574641843674,1,0.483676304619146
4364,8572,84,100,556,8195,29833,3039,14995,41,27401003,58,-75.1877857434304,-8.66476341281169,1,0.481452850555488
4296,8493,82,100,733,8396,29803,2972,15027,44,27715468,58,-75.1877857434304,-9.22378040718663,1,0.291564081103102
4001,8340,76,97,1884,8432,29783,2603,14840,48,28378619,56,-75.1877857434304,-9.78279740156158,1,0.181598673246493
3451,7601,68,89,2430,8214,29746,2385,14515,52,28039942,51,-75.1877857434304,-10.3418143959365,1,0.23275052829228
3165,7437,65,84,3090,7215,29192,3318,14378,28,27384102,46,-75.1877857434304,-10.9008313903115,1,0.4883476438766
2297,6095,47,64,3938,5654,28351,3302,15005,14,25916199,40,-75.1877857434304,-11.4598483846864,1,0.664511147380049
4128,7853,75,90,47,9477,29915,3702,14561,46,56253784,54,-74.6287687490555,8.10574641843674,1,0.0420352031740822
4117,7919,74,88,126,8895,29754,3135,14719,43,62409056,55,-74.6287687490555,7.54672942406179,1,0.950518836381849
4391,8044,79,95,755,9174,29722,1926,15937,57,67654357,58,-74.6287687490555,6.98771242968684,1,0.445706663762886
4271,8162,77,93,1931,9029,30007,1690,17472,112,68087505,59,-74.6287687490555,5.86967844093695,1,0.430395985169569
3099,6430,45,75,1505,6595,29556,8377,14030,60,60047639,25,-74.6287687490555,4.19262745781211,1,0.747575558024431
3176,6654,41,74,740,5777,29032,3405,15688,35,53495816,41,-74.6287687490555,3.63361046343716,1,0.245066151402353
