GPP_cedar,GPP_fluxsat,GPP_zhang,GPP_MOD17A3HGF,GOME2_PK_SIF,GOME2_JJ_SIF,OCO2SIF,GOSIF,SIFOCO2,ELEVATION,BCCMASS,BCdepo,TA,RF,SM,SW,VPD,soilClayContent,soilWaterContent,soilPH,soilBulkDensity,soilTaxa,Ndepo,LAI,BIOMASS,longitude,latitude,indRows,indCols,Region,randomNum
6.54,8.01,5.78082191780822,6.41095890410959,0.386,0.7667,0.315,0.348,0.322,0,5788,1860,29749,6897,554,8509,28,3445,4235,5163,10092,261,15304718,46,22458,-77.4238537209302,5.310661446562,27,184,1,0.425468671551764
7.55,7.73,5.47945205479452,6.57534246575342,0.3861,0.7747,0.345,0.348,0.344,0,5765,1801,29803,9798,438,8409,24,3467,3827,4950,10337,389,13031426,46,23257,-77.4238537209302,4.75164445218705,28,184,1,0.546370363272546
6.97,7.02,5.34246575342466,6.84931506849315,0.3661,0.7496,0.275,0.332,0.338,0,5874,1795,29818,15321,579,8688,24,3488,3972,4831,10027,389,15934166,46,24081,-77.4238537209302,4.19262745781211,29,184,1,0.190797083318664
6.35,7.39,5.15068493150685,7.01369863013699,0.3617,0.7288,0.33,0.328,0.329,0,6050,1795,29771,17957,588,7499,28,3166,4200,5016,10577,389,16195334,47,23794,-77.4238537209302,3.63361046343716,30,184,1,0.744488837009526
7.61,7.25,5.28767123287671,7.53424657534247,0.357,0.7188,0.305,0.316,0.318,0,6028,2473,29769,10255,576,9307,29,3179,4141,5096,10667,261,16749975,48,21396,-77.4238537209302,3.07459346906221,31,184,1,0.212856219278171
7.09,7.77,5.45205479452055,7.34246575342466,0.3406,0.6895,0.28,0.316,0.279,41,6031,4047,29587,11411,579,10300,25,3293,4699,5214,9450,261,33967472,46,20339,-77.4238537209302,2.51557647468726,32,184,1,0.100122455877196
7.29,8.5,5.6986301369863,7.26027397260274,0.3341,0.6837,0.295,0.324,0.3,204,5074,4696,29357,5207,507,14100,31,3240,4997,5165,9559,261,39310372,47,20912,-77.4238537209302,1.95655948031232,33,184,1,0.896384986297513
6.7,8.08,5.91780821917808,7.64383561643836,0.3184,0.6733,0.265,0.316,0.288,558,4476,3309,29069,4229,513,14794,32,2840,5330,5270,8390,264,40119503,48,18511,-77.4238537209302,1.39754248593737,34,184,1,0.822336975387737
6.29,7.81,5.26027397260274,6.63013698630137,0.2928,0.6183,0.215,0.252,0.142,3157,3959,3252,28543,2913,483,14586,17,2552,5104,5496,7734,261,38977712,45,23081,-77.4238537209302,0.838525491562421,35,184,1,0.882783750050209
7.33,7.42,6.08219178082192,7.67123287671233,0.3652,0.7074,0.305,0.324,0.27,2898,4565,2890,29241,2882,473,14602,34,2995,4787,5303,10005,261,34557052,54,25012,-77.4238537209302,0.279508497187474,36,184,1,0.0881242954121649
