GOME2_PK_SIF,GOME2_JJ_SIF,OCO2SIF,GOSIF,ELEVATION,BCCMASS,BCdepo,TA,RF,SW,VPD,Ndepo,LAI,longitude,latitude,indRows,indCols,Region,randomNum
2723,6163,52,69,2150,5721,4141,28699,1965,15175,43,49185968,46,-75.7468027378054,3.63361046343716,30,187,1,0.407619444945905
2520,5901,50,66,2447,5889,3108,28582,2790,14625,25,47018607,43,-75.7468027378054,3.07459346906221,31,187,1,0.368699723575791
2937,6487,61,78,2661,5748,2677,28911,2693,14767,34,42669447,47,-75.7468027378054,2.51557647468726,32,187,1,0.468398760390358
3148,6644,60,81,2171,5797,4239,29112,2395,14762,28,38302376,45,-75.7468027378054,1.95655948031232,33,187,1,0.503413843283962
3602,7110,65,85,1726,7241,3722,29567,2385,14613,44,36114951,52,-75.7468027378054,1.39754248593737,34,187,1,0.91053578239871
4321,7853,80,92,259,8417,2425,29796,3701,14170,36,31836535,60,-75.7468027378054,0.838525491562421,35,187,1,0.206431022073808
4214,7706,79,90,261,8261,1693,29788,3561,13963,34,27664859,59,-75.7468027378054,0.279508497187474,36,187,1,0.338603675277383
3967,7346,74,86,253,7685,1534,29791,3399,13830,34,25577808,58,-75.7468027378054,-0.279508497187474,37,187,1,0.574125621988357
4012,7442,78,90,238,7259,1478,29795,3004,13775,34,22146173,58,-75.7468027378054,-0.838525491562421,38,187,1,0.486932439429646
3979,7443,79,92,247,6959,1589,29792,3030,13774,33,20430347,58,-75.7468027378054,-1.39754248593737,39,187,1,0.262218985690441
3950,7429,80,90,232,6758,1589,29793,2953,13806,32,19746368,59,-75.7468027378054,-1.95655948031232,40,187,1,0.579593462953119
3944,7411,80,91,235,6605,1812,29792,2832,13812,32,18418880,59,-75.7468027378054,-2.51557647468726,41,187,1,0.878327698975432
3860,7341,80,91,235,6572,1944,29784,2927,13780,31,18405466,59,-75.7468027378054,-3.07459346906221,42,187,1,0.0609502223844922
3889,7367,80,91,196,6614,1955,29809,2885,13911,32,18598517,59,-75.7468027378054,-3.63361046343716,43,187,1,0.440876468930202
3927,7379,79,91,158,6718,1904,29819,2886,13979,32,18983827,58,-75.7468027378054,-4.19262745781211,44,187,1,0.0842580013374562
3763,7129,74,85,140,6866,1549,29864,2751,14378,36,19915758,57,-75.7468027378054,-4.75164445218705,45,187,1,0.563237615425729
4054,7777,80,93,132,7000,1460,29864,2597,14671,38,20385263,59,-75.7468027378054,-5.310661446562,46,187,1,0.53931058029157
4278,8257,84,98,158,7076,1428,29849,2576,14824,39,22295753,59,-75.7468027378054,-5.86967844093695,47,187,1,0.768057900271301
4190,8208,82,98,385,7170,1434,29731,2161,15249,43,23716738,58,-75.7468027378054,-6.4286954353119,48,187,1,0.233090272198938
4136,8254,82,100,649,7100,1314,29608,2819,15296,36,24156254,57,-75.7468027378054,-6.98771242968684,49,187,1,0.587361742486469
4331,8489,85,105,719,7193,1314,29651,2535,15141,38,24900347,58,-75.7468027378054,-7.54672942406179,50,187,1,0.45897386682236
3901,7974,77,96,1172,7195,1531,29427,3938,14423,32,25596443,55,-75.7468027378054,-8.10574641843674,51,187,1,0.860981521803687
3741,7893,74,95,1234,7341,1751,29408,4529,14297,31,26003070,54,-75.7468027378054,-8.66476341281169,52,187,1,0.660836094448244
3357,7484,67,89,986,7339,2403,29196,2910,14925,29,26109941,50,-75.7468027378054,-9.22378040718663,53,187,1,0.353879166108453
2849,6840,61,79,2790,6597,2668,28719,2964,15335,18,26356995,47,-75.7468027378054,-9.78279740156158,54,187,1,0.347186297893882
2452,6291,55,72,3479,5572,2991,28353,2701,15785,16,25840280,42,-75.7468027378054,-10.3418143959365,55,187,1,0.253718102314479
2351,6264,54,69,4193,4619,2471,27901,1914,17323,14,25214641,44,-75.7468027378054,-10.9008313903115,56,187,1,0.952528145373397
4123,7732,71,88,316,9202,2913,29758,2997,14795,42,62776079,55,-75.1877857434304,7.54672942406179,23,188,1,0.298200989823935
4312,7941,76,93,1410,7405,3021,29388,3081,15648,31,66048154,57,-75.1877857434304,6.98771242968684,24,188,1,0.158406077778295
3870,7730,71,84,1580,7516,3272,29422,2486,16822,60,65872416,52,-75.1877857434304,5.86967844093695,26,188,1,0.361297056727092
2950,6610,57,67,1681,7866,3998,29312,1830,16592,71,65335469,42,-75.1877857434304,5.310661446562,27,188,1,0.741629092882824
2985,6524,55,71,1747,7891,3277,29295,1669,15114,65,64167938,39,-75.1877857434304,4.75164445218705,28,188,1,0.705900010029432
2881,6363,55,69,2326,8798,2425,29706,1499,15332,93,58645091,38,-75.1877857434304,4.19262745781211,29,188,1,0.700892172871074
2937,6498,52,78,1752,7428,1766,29462,2522,16144,75,50177443,44,-75.1877857434304,3.07459346906221,31,188,1,0.00622578741150148
2888,6364,52,77,1395,6020,3674,28991,2645,15391,35,43979012,47,-75.1877857434304,2.51557647468726,32,188,1,0.374345601275841
3235,6780,61,82,1356,7438,3150,29756,2025,15343,69,37568849,50,-75.1877857434304,1.95655948031232,33,188,1,0.901495619292659
4211,7701,78,89,230,8523,2234,29809,3237,14310,39,29139097,59,-75.1877857434304,0.838525491562421,35,188,1,0.318344828077252
4214,7690,79,91,235,8059,1647,29806,3213,14067,36,25204159,59,-75.1877857434304,0.279508497187474,36,188,1,0.597082923214809
4022,7430,76,87,240,7444,1605,29812,3040,13969,35,23235580,58,-75.1877857434304,-0.279508497187474,37,188,1,0.297795182472319
3903,7300,77,89,212,7027,1576,29808,3033,13891,34,20107392,58,-75.1877857434304,-0.838525491562421,38,188,1,0.125014381285728
3895,7326,79,91,218,6783,1536,29807,3032,13872,33,18848536,58,-75.1877857434304,-1.39754248593737,39,188,1,0.388355668657057
