YY,MM,DD,system_index,QC_500m,Range,SensorAzimuth,SensorZenith,SolarAzimuth,SolarZenith,date1,date_end,date_start,ecoregion,flux_data,flux_sitenames,gflags,granule_pnt,iobs_res,koeppen_geiger,landcover_igbp,num_observations_1km,num_observations_500m,obscov_500m,orbit_pnt,primary_veg_type,q_scan,secondary_veg_type,site_num,sitename,state_1km,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,wwf_biome,x_geo,Var38,Var39,,
2000,4,22,2000_04_22_0000000000000000014e,1073741824,28390,10736,567,16021,3329,11069,2019-01-13,2007-03-15,8,false,,0,2,0,Dfb,5,2,1,45,1,DB,15,EN,64,acadia,1041,9256,9114,8884,9169,5757,1803,896,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,23,2000_04_23_0000000000000000014e,1073741824,42716,-7170,5203,17956,3160,11070,2019-01-13,2007-03-15,8,false,,0,2,0,Dfb,5,5,2,20,1,DB,15,EN,64,acadia,1041,8378,8281,8404,8454,156,3622,1454,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,24,2000_04_24_0000000000000000014e,1073741824,30996,9839,2565,15485,3346,11071,2019-01-13,2007-03-15,8,false,,0,2,0,Dfb,5,3,1,48,1,DB,7,EN,64,acadia,1041,8616,8588,8297,8555,6633,4960,1111,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,25,2000_04_25_0000000000000000014e,1000324027,36012,-7425,4070,17400,3106,11072,2019-01-13,2007-03-15,8,false,,0,2,0,Dfb,5,2,1,22,1,DB,15,EN,64,acadia,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,26,2000_04_26_0000000000000000014e,1002159035,36377,9694,4155,14955,3385,11073,2019-01-13,2007-03-15,8,false,,0,0,0,Dfb,5,1,1,21,0,DB,15,EN,64,acadia,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,27,2000_04_27_0000000000000000014e,1002159035,30883,-7596,2512,16829,3075,11074,2019-01-13,2007-03-15,8,false,,0,2,2,Dfb,5,3,1,43,1,DB,15,EN,64,acadia,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,28,2000_04_28_0000000000000000014e,1002159035,43505,9530,5315,14437,3444,11075,2019-01-13,2007-03-15,8,false,,0,1,0,Dfb,5,8,2,16,0,DB,3,EN,64,acadia,145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,29,2000_04_29_0000000000000000014e,1073741824,28354,-7984,547,16249,3069,11076,2019-01-13,2007-03-15,8,false,,0,2,1,Dfb,5,2,1,43,1,DB,15,EN,64,acadia,8208,775,1827,579,748,2216,1706,1502,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,30,2000_04_30_0000000000000000014e,1073741824,46555,-7004,5667,-17692,2940,11077,2019-01-13,2007-03-15,8,false,,0,2,0,Dfb,5,8,2,15,1,DB,9,EN,64,acadia,1041,7444,7671,6954,7308,7134,5693,3598,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,5,1,2000_05_01_0000000000000000014e,1610612737,29233,10018,1586,15668,3085,11078,2019-01-13,2007-03-15,8,false,,0,2,0,Dfb,5,2,1,27,1,DB,15,EN,64,acadia,8208,810,1951,583,785,2312,1839,-4,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,5,2,2000_05_02_0000000000000000014e,1075576832,39259,-7225,4696,17712,2880,11079,2019-01-13,2007-03-15,8,false,,0,2,1,Dfb,5,2,1,22,1,DB,9,EN,64,acadia,1041,5749,6167,5459,5697,6491,5803,4736,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
